background_library,driver_shortname,gene_name,gene_age,gene_origin,chromosome,female_cross_mean,male_cross_mean,female_cross_sd,male_cross_sd,female_cross_lwr,male_cross_lwr,female_cross_upr,male_cross_upr,female_lwr_2.5,male_lwr_2.5,female_median,male_median,female_mean,male_mean,female_sd,male_sd,female_upr_97.5,male_upr_97.5,male_beneficial,female_beneficial,male_detrimental,female_detrimental,signif
GD,Nos,CG2826,6-11MYA,D,2,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.6021404265811451,-0.5315465070819684,-0.17166764044586297,-0.10900321141585231,-0.17114985799642707,-0.10484473197457386,0.21942902561298017,0.2146623397278472,0.2572725806071631,0.326976978406159,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Tub,CG2826,6-11MYA,D,2,0.34498936675355885,-0.08540593287708405,0.7949144987721093,0.797163298029635,-1.3211770827480522,-1.7574390409205771,1.873852265759217,1.428571960871993,-2.8387719237022995,-0.665256061333601,-2.343001435316941,-0.21827176299998693,-2.3420630160954996,-0.21220069948121748,0.2568405934139221,0.23692530523164249,-1.8314207700585885,0.2616543494360644,FALSE,FALSE,FALSE,TRUE,TRUE
GD,Act,CG30037,11-25MYA,D,2,0.3318144888202661,0.05222316137894222,0.7915056506486166,0.7891419351937543,-1.3569847070181051,-1.6184171454496068,1.8204095495355554,1.5427161084259446,-0.28741622424504415,-0.9731860282653423,0.1458708630201071,-0.5426564190180345,0.1519196428571781,-0.5384000849811239,0.22786794286415912,0.23248986926745188,0.6090189689986248,-0.060373047756691035,FALSE,TRUE,TRUE,FALSE,TRUE
GD,Nos,CG30037,11-25MYA,D,2,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.19797259919204124,-0.18325728376990516,0.24660848495889087,0.24652845689639658,0.25133681977071787,0.2466708740696837,0.2342368877548583,0.22374041461761873,0.726826321335458,0.6963604900527247,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Tub,CG30037,11-25MYA,D,2,0.34498936675355885,-0.08540593287708405,0.7949144987721093,0.797163298029635,-1.3211770827480522,-1.7574390409205771,1.873852265759217,1.428571960871993,-0.40327567384790836,-0.6341217650163812,0.030953751696530453,-0.18024416077928454,0.03534955798031449,-0.1746905135091915,0.232603817246404,0.23584675927465445,0.5129394037052551,0.3027229953739956,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Act,CG30448,6-11MYA,D,2,0.3318144888202661,0.05222316137894222,0.7915056506486166,0.7891419351937543,-1.3569847070181051,-1.6184171454496068,1.8204095495355554,1.5427161084259446,-0.91689947322555,-0.6422176156622514,-0.45774024194986385,-0.1839862405462833,-0.4579591616397749,-0.17999051564147586,0.23347534275933696,0.2450149946339026,0.012445841505828868,0.3249671813968351,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Nos,CG30448,6-11MYA,D,2,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.6395141628252264,-0.5691711657952302,-0.17577032189171005,-0.13594343119612207,-0.170951898044174,-0.12944705839189716,0.24310129585287749,0.23118790973579909,0.31901869418614237,0.33629378748596334,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Tub,CG30448,6-11MYA,D,2,0.34498936675355885,-0.08540593287708405,0.7949144987721093,0.797163298029635,-1.3211770827480522,-1.7574390409205771,1.873852265759217,1.428571960871993,-0.715683641071344,-0.852722361462808,-0.25535975241329606,-0.3799817357058418,-0.2502685562805854,-0.3745443312712437,0.2444912709072818,0.2557545841122944,0.24429229722555054,0.1398193579072856,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Act,CG30473,6-11MYA,D,2,0.3318144888202661,0.05222316137894222,0.7915056506486166,0.7891419351937543,-1.3569847070181051,-1.6184171454496068,1.8204095495355554,1.5427161084259446,-0.6033372487992033,-0.9615818201358519,-0.1651852577596565,-0.5162321696894945,-0.1604289546047083,-0.5108556964426927,0.23565376879034752,0.23711332613623182,0.3177557346567233,-0.03979194997390168,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Nos,CG30473,6-11MYA,D,2,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.5610384086581555,0.07233787342726206,-0.12141247139904318,0.5196743321454818,-0.12006861211551532,0.5221847191744914,0.2281646079012712,0.23031493465574765,0.3344886229870651,0.9616611253872458,FALSE,FALSE,FALSE,FALSE,FALSE
